size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
3400000,445.074700,3.502168,97172730.400000,2169631.930281,48263810.900000,1653977.816950,442.583600,2.834527,97172776.400000,2169634.264494,48263810.900000,1653977.816950,1677.623500,45.953649,217607267.100000,4783.512568,70835755.700000,1594.504189
3500000,456.831100,1.680331,99627960.900000,2016136.308773,49572816.700000,1604695.026924,455.222300,1.857975,99628006.800000,2016137.568910,49572816.700000,1604695.026924,1749.152000,39.563700,224419353.000000,3498.511712,73056451.000000,1166.170571
3600000,470.500000,2.829507,103391692.600000,1490322.940313,51013910.500000,2138567.972852,469.628900,2.686843,103391739.300000,1490322.712436,51013910.500000,2138567.972852,1801.625300,35.797469,231240777.300000,3361.369127,75280259.100000,1120.456376
3700000,486.265500,3.815001,107464847.000000,2207739.812127,54227162.400000,2637775.848190,484.199000,3.871321,107464894.100000,2207741.126484,54227162.400000,2637775.848190,1891.985400,47.812016,238066878.300000,3503.905337,77505626.100000,1167.968446
3800000,498.520200,2.302678,109851762.800000,2052761.351025,54671719.100000,2129581.648474,497.592400,2.092662,109851811.700000,2052760.672309,54671719.100000,2129581.648474,1958.422300,38.634216,244901351.400000,4603.772436,79733783.800000,1534.590812
3900000,512.459800,2.646258,113074774.200000,1913955.577586,56027209.700000,1263773.703136,511.911600,2.194069,113074822.900000,1913955.580252,56027209.700000,1263773.703136,2034.268100,48.837493,251736030.900000,4561.843256,81962010.300000,1520.614419
4000000,529.505000,3.979965,116344082.400000,1706131.845824,57983029.900000,2225641.650055,527.510400,3.746320,116344128.300000,1706131.725232,57983029.900000,2225641.650055,2091.602100,39.527658,258577956.900000,4856.360313,84192652.300000,1618.786771
4100000,540.633300,1.933424,118720081.700000,1309219.852239,58564160.200000,2480338.403104,539.046400,2.829591,118720129.100000,1309222.203152,58564160.200000,2480338.403104,2175.411900,52.703770,265428726.900000,4157.635709,86426242.300000,1385.878570
4200000,556.297700,3.692099,121705494.300000,3178212.805678,60132630.200000,2129524.542929,556.693400,4.078875,121705541.200000,3178215.775876,60132630.200000,2129524.542929,2270.423400,54.764836,272283881.400000,4853.917082,88661293.800000,1617.972361
4300000,569.427400,3.511012,126959609.100000,3259170.058732,63163107.100000,2482486.554022,567.892500,4.835996,126959655.600000,3259171.884427,63163107.100000,2482486.554022,2354.882400,78.778061,279245567.400000,4055.276296,90931855.800000,1351.758765
4400000,585.750000,9.939646,128143843.700000,3410907.711271,63496510.700000,2309513.949481,580.679900,1.554153,128143891.500000,3410908.013606,63496510.700000,2309513.949481,2406.283700,93.268701,286220035.500000,4763.542469,93206678.500000,1587.847490
4500000,596.491200,2.561931,130275970.400000,3037136.926821,65250613.500000,2684606.500435,595.286600,4.417296,130276017.400000,3037138.475076,65250613.500000,2684606.500435,2478.395500,70.880442,293202402.600000,3333.574244,95484134.200000,1111.191415
4600000,611.923800,3.389711,133656413.100000,2836457.050887,66802937.400000,3355764.406718,613.096600,5.748905,133656460.500000,2836458.061971,66802937.400000,3355764.406718,2555.883200,47.116315,300197652.000000,3579.561984,97765884.000000,1193.187328
4700000,625.022600,2.983077,136344199.200000,3456333.515593,68416048.400000,1913552.138196,624.430000,3.861152,136344242.900000,3456335.177017,68416048.400000,1913552.138196,2624.729400,48.963296,307199487.300000,4783.658266,100049829.100000,1594.552755
4800000,640.600400,2.697968,141262215.600000,3203275.069348,71550513.800000,3245230.534291,639.992600,4.086676,141262264.400000,3203275.166733,71550513.800000,3245230.534291,2698.524200,57.220191,314209808.700000,5577.531301,102336602.900000,1859.177100
4900000,656.068100,4.765096,143643395.400000,4640239.559980,72470243.400000,2226592.753467,655.237000,5.410412,143643442.200000,4640242.170774,72470243.400000,2226592.753467,2785.646500,77.784535,321228207.600000,5374.258948,104626069.200000,1791.419649
5000000,666.280600,3.476061,146296708.300000,3588504.836748,72168169.900000,2294393.571891,665.148200,3.097943,146296757.000000,3588505.619982,72168169.900000,2294393.571891,2847.840700,65.768894,328253826.600000,3746.120986,106917942.200000,1248.706995
5100000,681.680600,3.615006,150221667.100000,3862284.661606,74291705.100000,2272055.340669,681.532400,4.905483,150221715.300000,3862285.586616,74291705.100000,2272055.340669,2923.620700,64.356230,335281623.300000,5043.613785,109210541.100000,1681.204595
5200000,698.704300,3.370439,153480917.300000,1627259.764488,75577811.800000,2459230.624552,698.992900,4.061128,153480963.700000,1627260.144424,75577811.800000,2459230.624552,3001.602600,60.361463,342322126.500000,5816.261209,111507375.500000,1938.753736
5300000,711.208300,3.345974,156927960.900000,3254072.134417,79215863.300000,3973830.844930,710.444900,2.591600,156928010.200000,3254074.612883,79215863.300000,3973830.844930,3069.042800,59.709351,349367937.900000,4274.020951,113805979.300000,1424.673650
5400000,734.101500,23.993559,159177022.700000,2929221.256370,80167774.100000,2345084.956875,729.840500,16.040650,159177069.600000,2929221.095129,80167774.100000,2345084.956875,3134.912800,66.597512,356414997.600000,4830.062571,116104999.200000,1610.020857
5500000,743.445300,5.424043,163139637.600000,3646745.733842,82680870.700000,3834310.155255,740.020400,6.062200,163139684.600000,3646746.596278,82680870.700000,3834310.155255,3203.152600,63.340065,363471982.500000,6249.754095,118407327.500000,2083.251365
5600000,755.900700,3.732900,166742489.700000,3188146.496255,82994790.500000,3283343.892096,754.599900,4.294633,166742536.700000,3188146.972543,82994790.500000,3283343.892096,3300.831700,64.377018,370535323.800000,6289.308957,120711774.600000,2096.436319
5700000,769.297700,4.501595,168632875.100000,3604464.118826,85496398.900000,3455000.322419,765.436000,4.769747,168632925.700000,3604464.820956,85496398.900000,3455000.322419,3360.951400,72.395882,377596569.600000,5731.808008,123015523.200000,1910.602669
